Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Adam Fox,2023,3,23,26,4,10,8,1,1,51,34,142,0
Adam Fox,2024,17,64,81,26,44,36,2,5,162,34,142,0
Adrian Kempe,2023,32,48,80,12,76,27,4,4,267,71,17,3
Adrian Kempe,2024,2,4,6,-3,6,2,1,1,32,71,17,3
Aleksander Barkov,2023,28,66,94,15,18,33,2,6,263,138,78,694
Aleksander Barkov,2024,21,31,52,13,10,14,0,5,142,138,78,694
Alex DeBrincat,2023,20,31,51,-6,24,17,0,4,234,40,25,16
Alex DeBrincat,2024,39,31,70,-13,29,29,0,4,244,40,25,16
Alex Ovechkin,2023,46,46,92,-19,52,37,0,8,392,284,39,4
Alex Ovechkin,2024,51,45,96,5,18,32,1,5,353,284,39,4
Alex Tuch,2023,12,26,38,-3,14,8,1,0,139,91,52,32
Alex Tuch,2024,21,26,47,3,39,15,0,6,215,91,52,32
Andrei Kuzmenko,2023,22,24,46,-9,12,19,0,4,121,13,18,0
Andrei Kuzmenko,2024,3,3,6,-5,4,4,0,1,17,13,18,0
Andrei Svechnikov,2023,7,8,15,-2,16,5,0,1,82,140,21,2
Andrei Svechnikov,2024,28,32,60,-4,81,20,0,5,220,140,21,2
Anton Lundell,2023,14,29,43,4,45,7,3,1,195,32,21,369
Anton Lundell,2024,7,15,22,-5,14,7,3,0,62,32,21,369
Artemi Panarin,2023,17,41,58,14,6,18,0,1,106,27,13,0
Artemi Panarin,2024,33,65,98,14,23,22,0,8,218,27,13,0
Artturi Lehkonen,2023,19,19,38,1,22,3,2,2,155,143,39,1
Artturi Lehkonen,2024,22,23,45,9,18,15,0,2,137,143,39,1
Auston Matthews,2023,42,37,79,-12,14,23,0,5,283,116,114,840
Auston Matthews,2024,36,53,89,11,22,28,2,3,308,116,114,840
Blake Coleman,2023,8,4,12,7,23,0,2,2,67,128,57,96
Blake Coleman,2024,18,20,38,21,72,0,2,2,245,128,57,96
Bo Horvat,2023,14,15,29,-7,18,0,1,1,103,84,81,318
Bo Horvat,2024,27,34,61,-4,33,18,3,3,227,84,81,318
Brad Marchand,2023,29,28,57,30,89,7,3,3,184,90,30,21
Brad Marchand,2024,16,15,31,-8,22,9,0,1,80,90,30,21
Brady Tkachuk,2023,1,6,7,-2,6,2,0,0,31,174,26,200
Brady Tkachuk,2024,35,48,83,-10,126,29,0,6,347,174,26,200
Brandon Hagel,2023,25,19,44,-18,31,6,3,3,125,22,15,8
Brandon Hagel,2024,17,12,29,14,18,4,1,4,87,22,15,8
