Player Name,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Goals Against,Goals Against Average,Saves,Shots Against,Save Percentage,Shutouts
Juuse Saros,2023/24,NSH,64,64,35,24,5,173,2.86,1672,1845,0.906,3
Alexandar Georgiev,2023/24,COL,63,62,38,18,5,183,3.02,1587,1770,0.897,2
Connor Hellebuyck,2023/24,WPG,60,60,37,19,4,142,2.39,1656,1798,0.921,5
Stuart Skinner,2023/24,EDM,59,57,36,16,5,147,2.62,1406,1553,0.905,2
Sergei Bobrovsky,2023/24,FLA,58,58,36,17,4,135,2.37,1449,1584,0.915,6
Jordan Binnington,2023/24,STL,57,55,28,21,5,156,2.84,1630,1786,0.913,3
Petr Mrázek,2023/24,CHI,56,53,18,31,4,160,3.05,1564,1724,0.907,1
Ilya Sorokin,2023/24,NYI,56,55,25,19,12,167,3.01,1655,1822,0.908,2
Joonas Korpisalo,2023/24,OTT,55,49,21,26,4,168,3.27,1355,1523,0.89,0
Igor Shesterkin,2023/24,NYR,55,55,36,17,2,141,2.58,1465,1606,0.912,4
Ukko-Pekka Luukkonen,2023/24,BUF,54,51,27,22,4,132,2.57,1338,1470,0.91,5
Jake Oettinger,2023/24,DAL,54,53,35,14,4,140,2.72,1336,1476,0.905,3
Cam Talbot,2023/24,LAK,54,52,27,20,6,130,2.5,1360,1490,0.913,3
Andrei Vasilevskiy,2023/24,TBL,52,52,30,20,2,148,2.9,1329,1477,0.9,2
Thatcher Demko,2023/24,VAN,51,51,35,14,2,123,2.45,1369,1492,0.918,5
Samuel Ersson,2023/24,PHI,51,49,23,19,7,132,2.82,1072,1204,0.89,4
Tristan Jarry,2023/24,PIT,51,48,19,25,5,133,2.91,1236,1369,0.903,6
Joey Daccord,2023/24,SEA,50,46,19,18,11,116,2.46,1258,1374,0.916,3
Connor Ingram,2023/24,ARI,50,48,23,21,3,136,2.91,1325,1461,0.907,6
Charlie Lindgren,2023/24,WSH,50,48,25,16,7,127,2.67,1304,1431,0.911,6
Jacob Markström,2023/24,CGY,48,48,23,23,2,131,2.78,1248,1379,0.905,2
John Gibson,2023/24,ANA,46,44,13,27,2,151,3.54,1192,1343,0.888,0
Logan Thompson,2023/24,VEG,46,42,25,14,5,119,2.7,1179,1298,0.908,1
Filip Gustavsson,2023/24,MIN,45,43,20,18,4,129,3.06,1154,1283,0.899,3
Mackenzie Blackwood,2023/24,SJS,44,41,10,25,4,140,3.45,1243,1383,0.899,2
Lukáš Dostál,2023/24,ANA,44,38,14,23,3,129,3.33,1181,1310,0.902,1
Alex Lyon,2023/24,DET,44,43,21,18,5,127,3.05,1198,1325,0.904,2
Jeremy Swayman,2023/24,BOS,44,43,25,10,8,108,2.53,1179,1287,0.916,3
Pyotr Kochetkov,2023/24,CAR,42,40,23,13,4,92,2.33,939,1031,0.911,4
Elvis Merzļikins,2023/24,CBJ,41,40,13,17,8,130,3.45,1136,1266,0.897,1
Sam Montembeault,2023/24,MTL,41,40,16,15,9,127,3.14,1180,1307,0.903,0
Marc-André Fleury,2023/24,MIN,40,36,17,15,5,111,2.98,945,1056,0.895,2
Ilya Samsonov,2023/24,TOR,40,40,23,7,8,120,3.13,967,1087,0.89,3
Linus Ullmark,2023/24,BOS,40,39,22,10,7,103,2.57,1104,1207,0.915,2
Alex Nedeljkovic,2023/24,PIT,38,33,18,7,7,102,2.97,937,1039,0.902,1
Karel Vejmelka,2023/24,ARI,38,33,13,19,2,114,3.35,975,1089,0.895,1
Kaapo Kähkönen,2023/24,2TM,37,33,7,24,3,116,3.64,1023,1139,0.898,1
Kaapo Kähkönen,2023/24,SJS,31,27,6,20,3,105,3.81,891,996,0.895,0
Kaapo Kähkönen,2023/24,NJD,6,6,1,4,0,11,2.51,132,143,0.923,1
Philipp Grubauer,2023/24,SEA,36,34,14,16,2,95,2.85,846,941,0.899,2
Adin Hill,2023/24,VEG,35,35,19,12,2,89,2.71,890,979,0.909,2
Jake Allen,2023/24,2TM,34,33,12,18,4,114,3.44,973,1087,0.895,0
Jake Allen,2023/24,MTL,21,21,6,12,3,74,3.65,612,686,0.892,0
Jake Allen,2023/24,NJD,13,12,6,6,1,40,3.11,361,401,0.9,0
Darcy Kuemper,2023/24,WSH,33,30,13,14,3,103,3.31,837,940,0.89,1
Arvid Söderblom,2023/24,CHI,32,29,5,22,2,114,3.92,828,942,0.879,0
Vítek Vaněček,2023/24,NJD,32,29,17,9,3,95,3.18,767,862,0.89,0
