Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Nikita Kucherov,2023/24,44,100,144,8,22,53,0,6,306,45,35,2
Nathan MacKinnon,2023/24,51,89,140,35,42,48,0,9,405,55,69,607
Connor McDavid,2023/24,32,100,132,35,30,44,1,5,263,118,39,442
Artemi Panarin,2023/24,49,71,120,18,24,44,1,5,303,18,15,1
David Pastrňák,2023/24,47,63,110,21,47,35,0,5,382,70,19,8
Auston Matthews,2023/24,69,38,107,31,20,29,1,8,369,90,93,705
Leon Draisaitl,2023/24,41,65,106,26,76,39,2,7,217,58,26,826
Mikko Rantanen,2023/24,42,62,104,19,50,40,0,9,271,53,49,275
J.T. Miller,2023/24,37,66,103,32,58,40,2,9,194,217,61,823
William Nylander,2023/24,40,58,98,1,24,35,4,7,316,32,29,56
Kirill Kaprizov,2023/24,46,50,96,11,36,41,0,8,277,55,38,0
Sidney Crosby,2023/24,42,52,94,7,40,23,0,3,278,101,37,1090
Filip Forsberg,2023/24,48,46,94,16,43,32,0,11,347,141,44,11
Sam Reinhart,2023/24,57,37,94,29,31,34,5,11,233,78,66,234
Quinn Hughes,2023/24,17,75,92,38,38,38,0,2,199,29,55,0
Cale Makar,2023/24,21,69,90,15,16,39,4,1,231,37,148,0
Brayden Point,2023/24,46,44,90,-16,14,32,0,12,227,16,44,294
Sebastian Aho,2023/24,36,53,89,34,36,32,2,10,216,48,18,571
Elias Pettersson,2023/24,34,55,89,20,12,31,2,10,207,125,68,406
Matthew Tkachuk,2023/24,26,62,88,19,88,32,1,2,280,151,28,3
Robert Thomas,2023/24,26,60,86,9,48,27,3,3,170,16,47,876
Roman Josi,2023/24,23,62,85,12,45,33,1,5,268,46,151,0
Mitch Marner,2023/24,26,59,85,21,18,27,1,2,158,59,51,4
Jesper Bratt,2023/24,27,56,83,-6,12,27,1,7,248,66,33,8
Evan Bouchard,2023/24,18,64,82,34,32,35,0,7,220,71,105,0
Steven Stamkos,2023/24,40,41,81,-21,34,39,0,6,262,78,43,357
Aleksander Barkov,2023/24,23,57,80,33,24,29,2,4,193,104,50,630
Mathew Barzal,2023/24,23,57,80,-4,34,25,0,4,240,54,52,49
Jason Robertson,2023/24,29,51,80,19,22,28,0,4,231,77,31,0
Zach Hyman,2023/24,54,23,77,36,48,20,0,7,290,87,37,7
Nick Suzuki,2023/24,33,44,77,-14,36,31,0,1,185,69,48,689
Vincent Trocheck,2023/24,25,52,77,16,55,24,1,5,215,175,86,881
Jake Guentzel,2023/24,30,47,77,25,22,22,0,2,238,48,28,6
Jake Guentzel,2023/24,22,30,52,9,14,13,0,2,185,36,21,5
Jake Guentzel,2023/24,8,17,25,16,8,9,0,0,53,12,7,1
Victor Hedman,2023/24,13,63,76,18,76,31,0,2,168,65,102,0
Clayton Keller,2023/24,33,43,76,-20,32,30,0,4,228,20,30,30
Brandon Hagel,2023/24,26,49,75,1,79,7,2,3,184,55,45,25
Nazem Kadri,2023/24,29,46,75,0,43,22,0,4,277,57,24,592
Adrian Kempe,2023/24,28,47,75,13,72,27,4,4,246,112,32,3
Chris Kreider,2023/24,39,36,75,19,26,29,5,7,246,99,20,35
Gustav Nyquist,2023/24,23,52,75,7,8,24,2,4,153,36,38,15
Jack Hughes,2023/24,27,47,74,-12,12,31,0,4,274,10,24,118
Brady Tkachuk,2023/24,37,37,74,1,134,22,0,2,357,294,34,200
Brock Boeser,2023/24,40,33,73,23,14,25,0,4,204,56,29,13
