season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Nikita Kucherov,TBL,RW,44,100,144,8,22,0,0,0,306,0,45,35,0
2023/24,Nathan MacKinnon,COL,C,51,89,140,35,42,0,0,0,405,0,55,69,0
2023/24,Connor McDavid,EDM,C,32,100,132,35,30,0,0,0,263,0,118,39,0
2023/24,Artemi Panarin,NYR,LW,49,71,120,18,24,0,0,0,303,0,18,15,0
2023/24,David Pastrňák,BOS,RW,47,63,110,21,47,0,0,0,382,0,70,19,0
2023/24,Auston Matthews,TOR,C,69,38,107,31,20,0,0,0,369,0,90,93,0
2023/24,Leon Draisaitl,EDM,C,41,65,106,26,76,0,0,0,217,0,58,26,0
2023/24,Mikko Rantanen,COL,RW,42,62,104,19,50,0,0,0,271,0,53,49,0
2023/24,J.T. Miller,VAN,C,37,66,103,32,58,0,0,0,194,0,217,61,0
2023/24,William Nylander,TOR,C,40,58,98,1,24,0,0,0,316,0,32,29,0
2023/24,Kirill Kaprizov,MIN,LW,46,50,96,11,36,0,0,0,277,0,55,38,0
2023/24,Sidney Crosby,PIT,C,42,52,94,7,40,0,0,0,278,0,101,37,0
2023/24,Filip Forsberg,NSH,C,48,46,94,16,43,0,0,0,347,0,141,44,0
2023/24,Sam Reinhart,FLA,C,57,37,94,29,31,0,0,0,233,0,78,66,0
2023/24,Quinn Hughes,VAN,D,17,75,92,38,38,0,0,0,199,0,29,55,0
2023/24,Cale Makar,COL,D,21,69,90,15,16,0,0,0,231,0,37,148,0
2023/24,Brayden Point,TBL,C,46,44,90,-16,14,0,0,0,227,0,16,44,0
2023/24,Sebastian Aho,CAR,F,36,53,89,34,36,0,0,0,216,0,48,18,0
2023/24,Elias Pettersson,VAN,C,34,55,89,20,12,0,0,0,207,0,125,68,0
2023/24,Matthew Tkachuk,FLA,LW,26,62,88,19,88,0,0,0,280,0,151,28,0
2023/24,Robert Thomas,STL,C,26,60,86,9,48,0,0,0,170,0,16,47,0
2023/24,Roman Josi,NSH,D,23,62,85,12,45,0,0,0,268,0,46,151,0
2023/24,Mitch Marner,TOR,RW,26,59,85,21,18,0,0,0,158,0,59,51,0
2023/24,Jesper Bratt,NJD,W,27,56,83,-6,12,0,0,0,248,0,66,33,0
2023/24,Evan Bouchard,EDM,D,18,64,82,34,32,0,0,0,220,0,71,105,0
2023/24,Steven Stamkos,TBL,C,40,41,81,-21,34,0,0,0,262,0,78,43,0
